filename,genre,spectral_bandwidth,spectral_contrast,bpm,wav_entropy,wav_std_dev,weighted_cosine_similarity
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 7.今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）(Av300361986,P7).mp3","J-Pop,Electro-Pop,Synth-Pop,Alternative Rock",2167.488304,25.24805848,172.265625,0.049135738,12.740547,0.180931505
"【V.W.P】《言霊_言灵》 _ V.W.P #6【Original MV】 - 1.言霊_220117_zhang(Av253310569,P1).mp3","J-Pop,Electro-Pop,Synth-Pop,Pop Rock",2264.402379,24.03051336,86.1328125,0.048679812,14.5861435,0.18069203
"「有什么不好」—結束バンド【孤独摇滚】 - 1.【中日歌词_完整版】孤独摇滚ED3「有什么不好」—結束バンド【孤独摇滚】(Av475500353,P1).mp3","J-Pop,Pop Rock,Alternative Rock,Indie Rock,Anime Rock",2217.127283,23.28101648,123.046875,0.049466051,15.38044,0.174221465
"【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ - 1.【偶像大师音乐】 はじめてのチュウ 赤城みりあcv_黒沢ともよ(Av98634874,P1).mp3","J-Pop,Anime Song,Cute Pop,Idol Pop,Bubblegum Pop",2407.950783,24.98062655,107.6660156,0.048869716,13.699474,0.173425476
"【异世界情绪】日文翻唱《カミノコトバ_神的话语》 - 1.【情】神的话语(Av843779161,P1).mp3","J-Pop,Vocaloid,Electronic,Synth-Pop,Pop Rock",2003.536175,22.81985811,112.3471467,0.048449117,13.738843,0.171764142
"【歌ってみた】蜜月アン?ドゥ?トロワ covered by ヰ世界情緒 - 1.ヰ世界情緒_蜜月アンドゥトロワ(Av83986529,P1).mp3","J-Pop,Vocaloid,Electro-Pop,Dance Pop,Synth-Pop",2372.958927,25.03621838,184.5703125,0.048958705,14.406434,0.171750387
"【ナースロボ＿タイプＴ】milk【UTAUcover】 - 1.milk(Av632543544,P1).mp3",,2191.405966,22.41160882,112.3471467,0.049838068,16.260801,0.168762521
"冰雪消融之时，我们能否「再会」？【艾因Eine&勺Shaun】翻唱 - 1.再会【艾因&勺】(Av418809225,P1).mp3",,2593.652613,25.69749082,89.10290948,0.049150377,13.383694,0.166790889
"【官方】King Gnu - 《Prayer X》MV（动画《战栗杀机》ED） - 1.Prayer X_fin0911(Av678263203,P1).mp3",,2037.394789,22.38171915,86.1328125,0.049914255,14.360525,0.164844785
"【めぐ】Flyer! - 1.【オリジナルMV】「Flyer! 」歌ってみたver.めぐ - ニコニコ動画(Av767684721,P1).mp3",,2528.272689,23.04638386,95.703125,0.04972754,17.493908,0.162632621
"「吉他与孤独与蓝色星球」第五集live部分插曲—結束バンド【孤独摇滚】 - 1.ギターと孤独と蒼い惑星(Av562317092,P1).mp3",,2265.562617,22.41718274,95.703125,0.049496676,16.215801,0.162466842
"今夜はブギー?バック - 小沢健二 featuring スチャダラパー｜covered by som - 1.今夜はブギー?バック - 小沢健二 featuring スチャダラパー｜co(Av637141452,P1).mp3",,2110.569563,22.72766421,92.28515625,0.04786751,13.955745,0.161781316
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 1.小熊（Song by Koresawa）索尔缇娜（南条爱乃）(Av300361986,P1).mp3",,2162.520285,23.81723992,151.9990809,0.048588366,13.093676,0.161029463
"索姆尼娅酱 - にと?ねと?りーむ！ - 1.そむにあちゃん - にと?ねと?りーむ！(Av340371032,P1).mp3",,2501.901184,23.60890914,89.10290948,0.050507232,16.05169,0.161004857
"【初音ミク ＆ 可不】成为空【MIMI】 - 1.P1(Av295707376,P1).mp3",,2305.959583,23.92787961,83.35433468,0.050836918,13.351496,0.157433066
"【异世界情绪】日文翻唱《鳥の詩_鸟之诗》 - 1.【情】鸟之诗(Av332262023,P1).mp3",,2382.121379,23.44903606,123.046875,0.047647277,14.814895,0.156358906
マシュマリー (feat. 花里みのり & 桃井愛莉 & 初音ミク).flac,,2508.262983,24.61848863,123.046875,0.049642689,13.703001,0.15556852
"一如既往的场所 「いつもこの場所で」  AMV - 1.1(Av9676829,P1).mp3",,2527.65941,23.16509891,89.10290948,0.048350632,16.29602,0.154651399
"ステラの座 _ 雄之助 feat. 星界 - 1.ステラの座(Av980684562,P1).mp3",,2361.715705,23.25483522,99.38401442,0.049736456,14.719416,0.153995855
"女の子になりたい _  まふまふ - 1.onnanokoninaritai(Av73334896,P1).mp3",,2398.651523,22.92074327,143.5546875,0.049304312,15.944994,0.152572126
"不断被替换的渺小存在【ゆえぽる】 - 1.1(Av621161,P1).mp3",,2359.393988,23.40963838,117.4538352,0.049090637,14.221934,0.15138713
"【東方神霊廟】～ 聖徳伝説 ～ True Administrator ～ 原曲【高音質】 - 1.1(Av264927,P1).mp3",,2385.203643,22.71570228,107.6660156,0.047945459,15.627164,0.151121739
"【翻唱】可爱的女朋友 ／ syudou【Kotone(天神子兔音)cover】 - 1.【翻唱】可爱的女朋友 ／ syudou【Kotone(天神子兔音)cover(Av760822497,P1).mp3",,2567.555072,23.67672337,161.4990234,0.051509414,16.225584,0.151005161
"【Mili】Ga1ahad and Scientific Witchery （加拉哈德1号与科学性巫 - 1.1(Av3838286,P1).mp3",,2307.061974,23.52963838,83.35433468,0.04955947,13.272704,0.150034208
"【官方】King Gnu - 《白日》MV（日剧《冤罪律师》主题曲） - 1.KG_HAKUJITSU_H264_0210final(Av465676178,P1).mp3",,2237.4282,22.10518261,92.28515625,0.048742883,15.38418,0.150016901
"【谢拉×Mana】magnet【贴贴】 - 1.【シエラ×マナ】magnet【歌ってみた】(Av70374361,P1).mp3",,2457.030886,22.77946948,107.6660156,0.049283349,16.057297,0.149753489
"【歌ってみた】エント?ロール covered by ヰ世界情緒 - 1.ヰ世界情緒_エンドロール(Av711943915,P1).mp3",,2384.071049,22.28876141,151.9990809,0.048824206,16.813213,0.14921926
"【官方】King Gnu - 《三文小说》MV（日剧《35岁的少女》主题曲） - 1.KG_SS_H264_4K_1102(Av508903187,P1).mp3",,2054.806353,22.9134146,89.10290948,0.048662344,12.122523,0.148569563
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 39.Dokie Doggy Night（Song by alfakyun） 墨(Av300361986,P39).mp3",,2464.832315,23.45860227,123.046875,0.049879171,14.758788,0.147626168
"「不埒な喝采」  covered by 跳亜【cc字幕】 - 1.【歌ってみた】「不埒な喝采」  covered by 跳亜(Av810542096,P1).mp3",,2520.824944,23.60264243,161.4990234,0.050842943,15.503448,0.147467015
"醒餞の鳥(Seisen no Tori) - Feryquitous feat. Risa Yuzu - 1.seisennotori_youtube(Av205840666,P1).mp3",,2632.877607,23.57690735,89.10290948,0.04922562,15.651826,0.147149783
"【理芽】 #08「食虫植物」 （Official Music Video） - 1.rim_syokuchu_1230_1(Av81877256,P1).mp3",,2064.987696,22.92276004,123.046875,0.050446903,12.490356,0.145954982
"【异世界情绪】#24 《霞がついてくる_雾霭相随》原创歌曲MV - 1.211207_zhang(Av549651069,P1).mp3",,2345.204121,22.71688956,129.1992188,0.049604808,14.987041,0.144916499
"【异世界情绪】#05 《ハイドレンジア_绣球花》原创歌曲MV - 1.【情】绣球花(Av243752757,P1).mp3",,2306.138489,22.76435119,135.9991776,0.049048996,14.58573,0.144576341
"【flower】猛毒【かいりきベア】 - 1.ベノム _ flower - niconico動畫(Av28356844,P1).mp3",,2275.456862,22.23973927,151.9990809,0.049876419,15.64786,0.144307729
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 33.红洋装（Song by 叶月由罗）艾薇（古贺葵）(Av300361986,P33).mp3",,2661.871287,23.04752745,123.046875,0.049096668,16.679861,0.14358916
"【Full MV】逆行して逃避行 - BlackY feat. Risa Yuzuki - 1.【Full MV】逆行して逃避行 _ Risa Yuzuki(Av501639085,P1).mp3",,2525.623427,23.33204096,135.9991776,0.048169733,15.050041,0.143075744
"『中日歌詞付き』 譚雅戦記ED1 FULL - Los! Los! Los! - 悠木碧 - 1.『Lyrics Video - 中日歌詞付き』 幼女戦記 Youjo Sen(Av9081138,P1).mp3",,2267.3013,21.38700496,117.4538352,0.049662636,16.63086,0.14258694
"【ナースロボ＿タイプＴ Sugar】あなたクランケン【UTAU音源配布】 - 1.2(Av291477249,P1).mp3",,2331.24418,22.62383956,135.9991776,0.049677567,14.852581,0.14189257
かねこちはる - TEmPTaTiON.mp3,,2486.942476,22.86924079,161.4990234,0.051145194,16.050844,0.141555358
"【异世界情绪】日文翻唱《深海少女》 - 1.深海少女_zhang(Av468927902,P1).mp3",,2404.418443,22.58593019,135.9991776,0.049476773,15.306683,0.140153228
"少女レイ- みきとP covered by 明透【cc字幕】 - 1.少女レイ- みきとP covered by 明透(Av514461244,P1).mp3",,2355.988459,22.75692069,151.9990809,0.048584052,14.70722,0.139627283
星野-Say so.mp3,,2375.500743,23.43000277,112.3471467,0.049255995,13.065678,0.138675561
"【花谱】「不埒な喝采_不羁的喝彩」原创歌曲 - 1.不羁的喝彩(Av504244351,P1).mp3",,2128.888288,22.01133174,161.4990234,0.050708769,14.755088,0.138588552
ももいろの鍵 (feat. 花里みのり & 桐谷遥 & 桃井愛莉 & 日野森雫 & 巡音ルカ).flac,,2395.60565,21.87397701,83.35433468,0.049859054,16.047735,0.137310582
"【来自深渊】Hanezeve Caradhina 日曲完整版 - 1.1(Av16693457,P1).mp3",,2237.375859,23.74379218,161.4990234,0.049849393,11.937966,0.137149032
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 8.困惑星旅行（Song by 芹泽优）妮娜（芹泽优）(Av300361986,P8).mp3",,2410.819281,24.14407521,143.5546875,0.050042006,12.147657,0.136808923
リンリン?がぁらふぁらんど - 桃寝ちのい × 日あさ寝 （cover）.flac,,2797.150703,23.23203854,86.1328125,0.049632016,16.483189,0.136784578
"【异世界情绪】日文翻唱《真生活》 - 1.ヰ世界情緒_真生活_zhang(Av638020168,P1).mp3",,2340.079733,23.62295957,129.1992188,0.048979969,12.265381,0.135666841
"【异世界情绪】日文翻唱《あだぽしゃ_尸蜡》 - 1.ヰ世界情緒_あた?ほ?しゃ_zhang(Av766467956,P1).mp3",,2366.656031,22.73465014,107.6660156,0.049556912,13.96313,0.13480183
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 2.Ⅶ. THE RUST（Song by 茅原实里）A.A.（茅原实里）(Av300361986,P2).mp3",,2414.926485,24.21505631,103.359375,0.049294679,11.355388,0.133955319
"【Mili】Vitamins--  Mili feat World s end girlfriend - 1.Vitamins--Mili feat World s end girlfr(Av38560371,P1).mp3",,2409.031509,23.351596,95.703125,0.048462135,12.840541,0.133422782
"【れい】吐出 - 1.はきだすを歌いました - ニコニコ動画(Av16454782,P1).mp3",,2503.778112,22.34753549,112.3471467,0.050625201,15.523601,0.131361926
"【萌系音乐】未完成ロマンチック - ミツキヨ (Feat.ことのは) - 1.01. 未完成ロマンチック(Feat.ことのは)(Av76914322,P1).mp3",,2478.780233,21.97444309,123.046875,0.048953576,15.87821,0.130077409
"【歌ってみた】メテオ covered by ヰ世界情緒 - 1.ヰ世界情緒_メテオ(Av926201717,P1).mp3",,2582.229224,23.89457301,143.5546875,0.046619896,12.955002,0.128954018
"【somunia熟肉】食虫植物 - 理芽  somunia - 1.【 cover 】食虫植物 - 理芽 _x264(Av928162828,P1).mp3",,2494.361748,23.31775518,123.046875,0.050719453,13.33468,0.128345238
"「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉａｌ - 1.「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉ(Av378294129,P1).mp3",,2113.724371,22.19158037,143.5546875,0.049563809,12.9693575,0.128222962
"マオ ／森中花咲(cover) - 1.マオ ／森中花咲(cover)(Av205002067,P1).mp3",,2654.32381,22.80445943,151.9990809,0.049517867,15.589237,0.127979087
"【中文字幕】somunia - Emerge - 1.somunia - Emerge_x264(Av382679438,P1).mp3",,2145.295896,23.60901477,143.5546875,0.04924726,10.398387,0.127835658
"携帯恋話／rie - 1.AAAAA(Av841455089,P1).mp3",,2518.272841,23.53734132,151.9990809,0.049010435,13.010188,0.126292696
"【ナースロボ＿タイプＴ】Penguin's Detour【UTAUcover】 - 1.1(Av248375142,P1).mp3",,2234.926831,21.72836492,123.046875,0.049570294,14.251002,0.125792689
"【翻唱】ヴァンパイア_vampire【白雪艾莉娅】 - 1.ヴァンパイア　完成(Av502558563,P1).mp3",,2553.148635,22.28393951,161.4990234,0.050314301,15.808834,0.125647869
"【官方MV_中日特效字幕】那个乐队「あのバンド」_ 孤独摇滚第八话插曲 - 1.【官方MV_中日特效字幕】那个乐队「あのバンド」_ 孤独摇滚第八话插曲(Av690575311,P1).mp3",,2481.342487,21.84193075,95.703125,0.049705906,15.408364,0.123730572
"【异世界情绪】日文翻唱《猫の食卓_猫的餐桌》 - 1.ヰ世界情緒_猫の食卓_最终(Av847496015,P1).mp3",,2456.661068,22.50187221,107.6660156,0.048644438,13.924227,0.12360587
"【中日字幕】INTERNET OVERDOSE _ covered by 藍月なくる - 1.INTERNET OVERDOSE _ covered by 藍月なくる_A(Av254097540,P1).mp3",,2672.151128,22.65644617,161.4990234,0.049542279,15.568878,0.12338431
[アナザーVER] ひつじがいっぴき (Hitsuji ga Ippiki) ? 小豆沢こはね (Vivid BAD SQUAD) 歌詞 Lyrics プロセカ.flac,,2460.929309,22.17648836,135.9991776,0.051628806,14.995992,0.123207936
【异世界情绪】日文翻唱《アンノウン?マサ?ーク?ース_不为人知的鹅妈妈童谣》.mp3,,2628.86354,23.09045319,112.3471467,0.048627568,13.9526005,0.12310748
"勺翻唱了死神 - 1.死神 _ 勺(Av889860452,P1).mp3",,2400.659222,22.88959538,117.4538352,0.050232817,12.695134,0.1210815
"「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「绝不会忘记」结束乐队／ TVアニメ「孤独摇滚」第12(Av521724987,P1).mp3",,2530.683724,21.76959296,92.28515625,0.049631725,15.586538,0.120890751
"[Afflict] Determination feat.棗いつき - Laur - 1.Laur - Determination feat.棗いつき(Av718955077,P1).mp3",,2633.568318,22.00969923,161.4990234,0.048976962,16.166468,0.120078016
"エヌ - ちのい （cover） - 1.エヌ - ちのい （cover）(Av694615330,P1).mp3",,2932.389515,23.3564612,66.25600962,0.049363016,15.152718,0.120021863
"【歌ってみた】白昼夢 covered by ヰ世界情緒 - 1.ヰ世界情緒_白昼夢(Av926693430,P1).mp3",,2476.031965,21.76867336,86.1328125,0.048867657,15.014877,0.11941684
"【BGA】 彁 - LeaF - 1.彁(Av247469165,P1).mp3",,2605.729763,22.99041256,107.6660156,0.051181846,13.722657,0.119368263
"【翻唱】ド屑 _ 大人渣 - なきそ _ 町田千麻 (Cover) - 1.ド屑 - なきそ _ 町田ちま(Cover)(Av300846932,P1).mp3",,2340.231857,21.89139258,117.4538352,0.051802584,14.247328,0.119289352
"【异世界情绪】#07 《とめどなき白情_无法停止的白情》原创歌曲MV - 1.（中字）とめと?なき白情(Av584957022,P1).mp3",,2474.349942,21.98966254,86.1328125,0.048612203,14.459753,0.118389649
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 10.篝火（Song by konoco）琳恩（村上奈津实）(Av300361986,P10).mp3",,2623.569058,23.55123352,103.359375,0.048157473,12.453123,0.118312096
"【翻唱】精神电锯 ／ かいりきベア【Kotone(天神子兔音)cover】 - 1.【翻唱】精神电锯 ／ かいりきベア【Kotone(天神子兔音)cover】(Av545527667,P1).mp3",,2539.790604,21.73596659,184.5703125,0.050390097,16.28179,0.118249861
"きゅうくらりん - ちのい （cover） - 1.きゅうくらりん - ちのい （cover）(Av736918126,P1).mp3",,2493.059134,22.11983546,112.3471467,0.049605217,14.429519,0.118133666
"【MV】L?schen (Long ver.) - BlackY feat. Risa Yuzuki - 1.[Risa Yuzuki] Loschen_FIX(Av722907250,P1).mp3",,2697.255693,22.56417686,123.046875,0.049236234,14.931627,0.117940899
"天 使 - 1.天使(Av376459307,P1).mp3",,2567.480256,22.42422186,123.046875,0.052534026,14.650862,0.117885788
"【异世界情绪】#03 《物語りのワルツ_叙述者的华尔兹》原创歌曲MV - 1.【情】叙述者的华尔兹(Av91058373,P1).mp3",,2433.373214,22.45581,112.3471467,0.049058918,13.278822,0.117393804
アニマルらんど.mp3,,2585.245525,22.60544532,151.9990809,0.049436992,14.298666,0.117371768
"自制中文字幕【初音ミク】重新分娩【MARETU】 - 1.1(Av13814000,P1).mp3",,2629.99109,21.83504665,129.1992188,0.049166633,15.766761,0.116327313
"【BOFU2017】 Lyrith -迷宮Lilith- 【FRENZ2017】 - 1.1(Av15249569,P1).mp3",,2573.069171,22.13729243,89.10290948,0.05096481,14.718673,0.115867514
果てのない旅.flac,,2555.548035,22.13728291,117.4538352,0.050504366,14.598496,0.115351063
"[まどそふと] 【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式?FULL】 ボーカル：ヒ - 1.【ハミダシクリエイティブ凸 あすみED】トキラキメキ【公式?FULL】 ボー(Av692661650,P1).mp3",,2684.675041,22.59741615,135.9991776,0.049266205,14.565191,0.115304371
"命运 _ 春卷饭×煮儿果实 feat.初音未来＆v flower - 1.運命MV202108273mix02master01(Av805237466,P1).mp3",,2504.987033,21.57637102,89.10290948,0.049595198,15.177249,0.115024704
"【翻唱】Phony - ツミキ _ 町田千麻(Cover) - 1.phony(Av419711743,P1).mp3",,2590.160574,22.43995797,172.265625,0.050124554,14.529998,0.113942453
"きゅうくらりん (cover) _ 鎖那 - 1.きゅうくらりん (cover) _ 鎖那(Av772160575,P1).mp3",,2533.823182,21.57093012,112.3471467,0.049640808,15.31147,0.113754324
"【异世界情绪】日文翻唱《第三の心臓_第三心脏》 - 1.ヰ世界情緒_第三の心臓_zhang(Av505646910,P1).mp3",,2498.198584,22.19108673,112.3471467,0.049564483,13.838863,0.113453874
"OTOMEROID - ちのい （cover） - 1.OTOMEROID - ちのい （cover）(Av352049886,P1).mp3",,2479.987202,22.38854664,129.1992188,0.052395157,13.631176,0.112658806
"【异世界情绪】日文翻唱《アイデンティティ_Identity》 - 1.ヰ世界情緒_アイテ?ンティティ_zhang(Av640211866,P1).mp3",,2579.794856,22.60600054,129.1992188,0.050543575,13.491812,0.111515809
"【异世界情绪】#28 《パンドラコール_PANDORA CALL》原创歌曲MV - 1.【异世界情绪】#28 《パンドラコール_PANDORA CALL》原创歌曲M(Av772179521,P1).mp3",,2621.035255,22.02031543,129.1992188,0.04940664,14.806153,0.111408293
"1.【ゆいこんぬ】地球最后的告白(Av515192,P1).mp3",,2708.088335,22.45495701,95.703125,0.048821088,14.320772,0.111150834
"【ななひら】INTERNET OVERDOSE - 1.【ななひら】INTERNET OVERDOSE(Av893089617,P1).mp3",,2910.420753,22.84730855,161.4990234,0.049532201,15.095695,0.110475039
"キッカイケッタイ - ちのい （cover） - 1.キッカイケッタイ - ちのい （cover）(Av482131061,P1).mp3",,2913.810704,21.79392147,107.6660156,0.052538543,16.984388,0.109749339
"【异世界情绪】日文翻唱《V〈Re-birth version〉》 - 1.ヰ世界情緒_V（中文字幕）(Av969959488,P1).mp3",,2483.760472,22.84484667,99.38401442,0.048899576,11.991571,0.10940884
"??少女レイ (cover) _兔子[めありー] - 1.少女レイ20180727youtubemst(Av32538951,P1).mp3",,2625.558584,22.43048159,151.9990809,0.048595324,13.944222,0.109244064
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 41.热情的埃达（Song by Mewhan）索尼娅（五十岚裕美）(Av300361986,P41).mp3",,2688.740028,22.48632532,129.1992188,0.049500765,14.055734,0.10912959
"【异世界情绪】日文翻唱《ADAM》 - 1.【情绪】ADAM(Av375730284,P1).mp3",,2521.735546,21.42454839,117.4538352,0.049953713,15.012813,0.108510145
"【瓦利斯】原创歌曲 #016《革命バーチャルリアリティ（覚醒 ver.）_革命虚拟现实（觉醒 ver - 1.0222_VALIS_MV_online_zhang(Av211799193,P1).mp3",,2794.132359,22.04286709,95.703125,0.049633322,15.178171,0.106864348
ひつじがいっぴき  ? Vivid BAD SQUAD × MEIKO.flac,,2372.49646,21.65352962,135.9991776,0.050176344,13.582865,0.106093813
クモヒトデのうまる砂の上で - 桃寝ちのい × 桜苺ちる （cover）.flac,,2774.077147,22.19749369,143.5546875,0.050730112,14.916785,0.106088595
"【櫻花アリス】 透明哀歌 【こぬこ／Cover】 - 1.1(Av1586207,P1).mp3",,2558.320038,22.06558177,112.3471467,0.049475555,13.653698,0.10589708
"『音击』ONGEKI Sound Collection 06「Transcend Lights」／赤 - 1.01.Transcend Lights(Av379997392,P1).mp3",,2818.225422,22.23857881,103.359375,0.048713006,14.801751,0.105820333
Elemental Creation (kamome sano Remix) - kamome sano.wav,,2481.804344,22.30051175,129.1992188,0.052167524,13.001001,0.105303397
"【音街ウナ】初恋日記【香椎モイミ】 - 1.【音街ウナ】初恋日記【香椎モイミ】(Av558130680,P1).mp3",,2736.966792,22.62181067,143.5546875,0.049976493,13.724872,0.105182662
"【官方】King Gnu - 《飞行艇》MV - 1.HIKOUTEI_MASTER_0809fin(Av978670080,P1).mp3",,2517.894015,21.25246626,80.74951172,0.048962957,14.826579,0.104954807
"【异世界情绪】日文翻唱《初恋日記》 - 1.【异世界情绪】日文翻唱《初恋日記》(Av690615688,P1).mp3",,2763.818943,22.66627467,143.5546875,0.049864185,13.756796,0.10493199
"【异世界情绪】#06 《いろはに咲きて_盛开于伊吕波》原创歌曲MV - 1.【情】盛开于伊吕波(Av839098911,P1).mp3",,2513.401074,21.94246124,143.5546875,0.049240012,13.709403,0.104893986
"【歌ってみた】あなぐらぐらし covered by ヰ世界情緒 - 1.ヰ世界情緒_あなぐらぐらし(Av884526676,P1).mp3",,2441.580844,22.82382631,129.1992188,0.047706674,11.451294,0.104873011
"【翻唱】ヨワネハキ feat. 和ぬか, asmi - MAISONdes (Cover) _ KM - 1.ヨワネハキ feat. 和ぬか, asmi - MAISONdes (Cov(Av854121796,P1).mp3",,2798.353358,23.07345031,107.6660156,0.050559465,13.0069065,0.104730775
"【歌ってみた】MACARON covered by ヰ世界情緒 - 1.ヰ世界情緒_Macaron(Av82653007,P1).mp3",,2593.133981,21.72455533,143.5546875,0.049686277,14.559101,0.104470467
"【Giga · q_Left】G4L (完整版)【YouTube Music ver.】 - 1.G4L(Av673284810,P1).mp3",,2569.003467,21.81795333,143.5546875,0.050283808,14.257521,0.104336658
"ごめんね ごめんね／森中花咲(cover) - 1.ごめんね ごめんね／森中花咲(cover)(Av201743511,P1).mp3",,2740.397032,22.57069944,112.3471467,0.048635075,13.493182,0.103930076
"ちゅ、多様性。 - ちのい （cover） - 1.ちゅ、多様性。 - ちのい （cover）(Av652264749,P1).mp3",,2988.824482,22.68150561,151.9990809,0.050168686,14.929951,0.103774655
"「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第12話劇中曲 - 1.【中日歌词_官方MV】「若能化作星座」结束乐队／ tvアニメ「孤独摇滚」第1(Av221640134,P1).mp3",,2696.765138,22.08334352,123.046875,0.049047486,14.199467,0.103575056
"【异世界情绪】日文翻唱《熱異常_热异常》 - 1.【异世界情绪】日文翻唱《熱異常_热异常》(Av908754224,P1).mp3",,2488.475635,21.77626881,92.28515625,0.049009299,13.488453,0.103497089
"かめりあ feat. ななひら - ?iиorz? - 1.かめりあ feat. ななひら - ?iиorz?_3(Av592433402,P1).mp3",,2760.213874,21.54449451,112.3471467,0.048633392,15.526355,0.103208316
"【异世界情绪】日文翻唱《夜顔の告白_夜颜的告白》 - 1.ヰ世界情緒_夜顔の告白（中文字幕）(Av542494035,P1).mp3",,2793.498322,21.76015189,103.359375,0.049496751,15.157962,0.102075685
【歌ってみた】少女レイ ? covered by ヰ世界情緒.wav,,2652.268941,22.26141124,151.9990809,0.048583139,13.592694,0.101942884
"Gram VS Kobaryo - Yggdrasil - 1.Gram VS Kobaryo - Yggdrasil【The Requie(Av499586562,P1).mp3",,2508.594255,21.21792667,99.38401442,0.047370083,14.493076,0.101523492
"【cc字幕】透明な呼吸  somunia × ヰ世界情緒 - 1.透明な呼吸  somunia × ヰ世界情緒(Av287181202,P1).mp3",,2641.474074,22.79386276,161.4990234,0.050007993,12.542286,0.101229432
"【异世界情绪】#13 「深渊 feat.花谱」原创歌曲MV - 1.【情绪】深渊(Av376208729,P1).mp3",,2541.96152,21.71386984,151.9990809,0.049666941,14.005399,0.101205137
"稲葉曇『ロストアンブレラ』Vo. 歌愛ユキ _ 稻叶昙- Lost Umbrella (Vo. 歌爱 - 1.P1(Av20410843,P1).mp3",,2549.824899,21.54897385,135.9991776,0.049853673,14.205545,0.100745982
"もうそう?えくすぷれす - ちのい （cover） - 1.もうそう?えくすぷれす - ちのい （cover）(Av949622181,P1).mp3",,2919.889456,22.55369916,99.38401442,0.048916073,14.1424465,0.10072654
"[Bassline Yatteru LOL] ベースラインやってる？笑 - Camellia (Fe - 1.繁体中文字幕(Av48101721,P1).mp3",,2718.71765,21.85124003,129.1992188,0.048639338,14.366103,0.099846326
Awake Now 小豆沢 こはね アナザーボーカル プロセカ.flac,,2806.09347,21.72669492,117.4538352,0.051814912,15.16107,0.099591208
"INTERNET OVERDOSE - ちのい （cover） - 1.INTERNET OVERDOSE - ちのい （cover）(Av482098543,P1).mp3",,2967.582153,22.60778282,161.4990234,0.049519813,14.420319,0.099473285
玩具? V.W.P #10【系譜曲】.wav,,2540.755887,21.02995836,161.4990234,0.049707644,15.195558,0.099103827
"稲葉曇『ラグトレイン』Vo. 歌愛ユキ _ 稻叶昙- Lagtrain (Vo. 歌爱雪) - 1.ラグトレイン(Av883823306,P1).mp3",,2614.366242,21.4724037,143.5546875,0.049089708,14.519412,0.098843493
